RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; MAX_ChgSet ; BUGGYNESS 
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java;4;3;474;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java;3;2;471;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java;4;3;389;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java;4;3;389;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java;1;1;207;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java;1;1;207;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java;3;2;406;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;3;2;471;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java;4;2;499;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java;2;2;300;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java;1;1;207;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java;3;2;406;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java;3;2;406;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java;3;2;406;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java;1;1;207;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;8;3;541;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java;1;1;207;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java;3;2;471;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java;1;1;207;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java;2;2;378;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java;4;3;473;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java;1;1;207;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java;2;2;378;207;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCacheTest.java;8;2;371;171;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;6;2;300;171;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;4;2;156;93;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;3;3;211;171;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java;2;2;172;171;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java;3;2;266;171;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;3;2;140;93;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;2;1;34;27;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;6;2;213;93;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;3;2;46;39;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;1;1;27;27;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;3;1;70;39;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;3;1;45;39;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;1;1;28;28;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;1;1;28;28;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java;2;1;72;39;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;4;2;45;39;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;4;2;45;39;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;1;1;39;39;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java;1;1;3;3;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java;2;1;37;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java;1;1;33;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;1;1;33;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java;1;1;33;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;1;1;33;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java;1;1;33;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;1;1;33;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;1;1;33;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;1;1;33;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;1;1;33;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;1;1;33;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;1;1;33;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;1;1;33;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;1;1;33;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;1;1;2;2;No
2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;0;0;0;
