TICKET ID ; IV ; OV ; FV ; AV
BOOKKEEPER-654;4;6;8;[4]
BOOKKEEPER-652;0;6;6;[null]
BOOKKEEPER-649;0;6;6;[null]
BOOKKEEPER-646;5;6;6;[5]
BOOKKEEPER-642;0;6;6;[null]
BOOKKEEPER-641;5;6;6;[5]
BOOKKEEPER-638;7;6;7;[7]
BOOKKEEPER-636;5;6;6;[5, 7]
BOOKKEEPER-635;0;6;6;[null]
BOOKKEEPER-633;7;6;6;[7]
BOOKKEEPER-632;5;6;6;[5, 7]
BOOKKEEPER-626;5;6;6;[5, 7]
BOOKKEEPER-625;5;6;6;[5]
BOOKKEEPER-624;5;6;6;[5]
BOOKKEEPER-623;5;6;6;[5, 7]
BOOKKEEPER-621;5;6;6;[5]
BOOKKEEPER-620;0;6;6;[null]
BOOKKEEPER-619;5;6;6;[5]
BOOKKEEPER-617;0;6;6;[null]
BOOKKEEPER-610;0;6;6;[null]
BOOKKEEPER-607;4;6;6;[4, 5]
BOOKKEEPER-604;0;6;6;[null]
BOOKKEEPER-603;4;6;6;[4, 5]
BOOKKEEPER-602;4;6;8;[4, 5]
BOOKKEEPER-601;4;6;6;[4, 5]
BOOKKEEPER-600;4;6;6;[4, 5]
BOOKKEEPER-599;4;6;6;[4, 5]
BOOKKEEPER-598;5;6;6;[5]
BOOKKEEPER-597;0;6;6;[null]
BOOKKEEPER-596;4;6;6;[4, 5]
BOOKKEEPER-594;0;5;11;[null]
