RELEASE;FILENAME;LOC;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;241;1;1;14;14;14,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;495;8;3;42;10;5,25;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;694;6;2;63;25;10,50;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;174;5;1;33;10;6,60;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;42;1;1;3;3;3,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;148;3;2;51;25;17,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;55;1;1;11;11;11,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;139;2;1;30;25;15,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;71;0;0;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;71;0;0;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;674;9;3;79;25;8,78;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;215;5;3;46;25;9,20;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;153;1;1;14;14;14,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;167;6;3;80;25;13,33;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;53;1;1;3;3;3,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;141;2;2;29;15;14,50;No
