Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;No;Sensitive Threshold;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;No;Sensitive Learning;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;oversampling;No;110;34;303;7;0.76;0.94;0.9;0.78
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;oversampling;Sensitive Threshold;110;34;303;7;0.76;0.94;0.92;0.78
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;oversampling;Sensitive Learning;87;26;311;30;0.77;0.74;0.83;0.67
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;undersampling;No;117;39;298;0;0.75;1;0.94;0.8
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;undersampling;Sensitive Threshold;117;39;298;0;0.75;1;0.94;0.8
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;undersampling;Sensitive Learning;87;82;255;30;0.51;0.74;0.76;0.44
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;SMOTE;No;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;SMOTE;Sensitive Threshold;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;SMOTE;Sensitive Learning;89;5;332;28;0.95;0.76;0.86;0.8
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;No;No;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;No;Sensitive Threshold;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;No;Sensitive Learning;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;oversampling;No;107;49;288;10;0.69;0.91;0.89;0.69
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;oversampling;Sensitive Threshold;107;49;288;10;0.69;0.91;0.88;0.69
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;oversampling;Sensitive Learning;92;28;309;25;0.77;0.79;0.85;0.7
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;undersampling;No;117;54;283;0;0.68;1;0.93;0.73
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;undersampling;Sensitive Threshold;117;54;283;0;0.68;1;0.92;0.73
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;undersampling;Sensitive Learning;90;99;238;27;0.48;0.77;0.76;0.4
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;SMOTE;No;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;SMOTE;Sensitive Threshold;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;IBk;Best first;SMOTE;Sensitive Learning;92;6;331;25;0.94;0.79;0.88;0.81
BOOKKEEPER;3;30.09;36.44;25.77;Naive Bayes;No;No;No;18;20;317;99;0.47;0.15;0.82;0.12
BOOKKEEPER;3;30.09;36.44;25.77;Naive Bayes;No;No;Sensitive Threshold;13;15;322;104;0.46;0.11;0.53;0.09
BOOKKEEPER;3;30.09;36.44;25.77;Naive Bayes;No;No;Sensitive Learning;13;15;322;104;0.46;0.11;0.82;0.09
BOOKKEEPER;3;30.09;36.44;25.77;Naive Bayes;No;oversampling;No;20;21;316;97;0.49;0.17;0.83;0.14
